Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Argentina,01-01-2000,33.9,20.7,27.5,0,17.9,32.8,49047.75
Argentina,02-01-2000,32.9,22.2,27.3,0.6,23.1,43.6,48969.22
Argentina,03-01-2000,32.1,21,26.9,0,20.6,40.7,48921.57
Argentina,04-01-2000,32.2,20.9,26.7,0,25.1,47.2,48091.2
Argentina,05-01-2000,30.5,21,25.7,0,23.7,45.4,48922.09
Argentina,06-01-2000,30.2,17.5,23,5.4,20,46.4,48768.95
Argentina,07-01-2000,29.9,18.3,23.9,2.3,19.9,32.4,47713.53
Argentina,08-01-2000,30.4,18.9,24.7,0,14.6,33.1,47194.46
Argentina,09-01-2000,31.4,16.9,24.3,1.4,16.8,34.9,48604.4
Argentina,10-01-2000,32.6,18.5,25.9,0,14.7,33.5,48716.59
Argentina,11-01-2000,33,21.1,26.7,0,28.2,52.9,47572.66
Argentina,12-01-2000,32.7,19.2,26,0.1,20.5,40.3,48531.04
Argentina,13-01-2000,30.5,18,24.2,0,20.8,41,48073.24
Argentina,14-01-2000,30.6,17.2,24,0,17.9,37.8,48411.94
Argentina,15-01-2000,29.2,20.5,23.7,4.6,16.6,41.4,44823.06
Argentina,16-01-2000,29,19.1,23.7,0.8,19.7,42.5,48073.08
Argentina,17-01-2000,30.9,14.9,23.6,0,18.1,38.5,48230.21
Argentina,18-01-2000,34.4,20.3,27.5,0,23.7,48.6,48060.03
Argentina,19-01-2000,35.8,22.1,29,0,21.8,40.7,47932.48
Argentina,20-01-2000,33.3,21.6,27.4,0,20.2,41.4,47865.02
Argentina,21-01-2000,25.9,19.4,23.2,0.9,28.1,57.2,47512.22
Argentina,22-01-2000,28.8,13.7,21.7,0,18.8,35.6,47577.78
Argentina,23-01-2000,30.1,18.4,24.4,0,27.2,52.2,46499.8
Argentina,24-01-2000,29.7,17.5,23.3,0,25,51.5,47167.45
Argentina,25-01-2000,31.3,17.3,24.3,0,19.8,39.2,47115.57
Argentina,26-01-2000,33.2,19.5,26.6,0,21,41.8,47104.34
Argentina,27-01-2000,33.3,21.2,27.2,0.2,22.3,48.6,39760.99
Argentina,28-01-2000,34,21,27.2,7.4,20.9,51.8,46114.57
Argentina,29-01-2000,30.4,20.9,25.5,0,21.3,45.4,46893.06
Argentina,30-01-2000,31.6,20.7,26.6,0,19.8,35.3,46800
Argentina,31-01-2000,33,19.8,26,1.8,17.1,36,46800
Argentina,01-02-2000,31.9,20.3,24.8,13.3,20.1,52.2,38067.3
Argentina,02-02-2000,26.8,18.6,22.4,1.8,22.2,44.3,46804.73
Argentina,03-02-2000,30.1,16,23.1,0,23.2,46.1,46800
Argentina,04-02-2000,32.9,19,26,0,16.3,35.3,46755.95
Argentina,05-02-2000,25.4,20.2,22.7,2.5,15.5,23.8,12755.91
Argentina,06-02-2000,29.4,16.3,23,0,13,25.9,46645.84
Argentina,07-02-2000,26.6,20.3,22.6,8.9,19.7,42.5,7468.31
Argentina,08-02-2000,26.3,18.1,22.2,9.8,12.1,22.7,21099.86
Argentina,09-02-2000,28.2,18.2,23.1,8.1,20.2,45.7,42870.09
Argentina,10-02-2000,28.9,17.7,22,15.9,18.6,44.3,37426.33
Argentina,11-02-2000,22,16.5,18.8,13.1,16.5,43.6,15773.32
Argentina,12-02-2000,22.9,15.6,19,0,21.9,44.3,42677.45
Argentina,13-02-2000,22.6,10.7,17.2,0,14.7,28.4,45791.65
Argentina,14-02-2000,23.6,11.3,17.8,0,16.6,34.6,45657.92
Argentina,15-02-2000,25,14.2,19.5,0,20.4,40.3,45522.86
Argentina,16-02-2000,26.9,16.3,21.5,0,27.6,54.4,45386.61
Argentina,17-02-2000,27.8,18.3,22.8,0,31.3,59.4,45249.28
Argentina,18-02-2000,24.6,18.2,21.9,0.8,25.3,46.4,45111.01
Argentina,19-02-2000,23.6,11.8,18.2,0,12.9,27,44971.92
Argentina,20-02-2000,28.6,12.6,20.6,0,12.2,24.5,44832.13
Argentina,21-02-2000,30.9,15.8,23.2,0,15.3,30.6,44691.77
Argentina,22-02-2000,31.1,17.6,24.3,0,20.9,42.5,44550.95
Argentina,23-02-2000,32.5,20.8,25.6,5.7,18.4,34.6,43089.25
Argentina,24-02-2000,32,19.1,24.6,4.6,12.2,27.4,43025.88
Argentina,25-02-2000,29.6,20.4,24,7.8,12.7,32.8,44027.23
Argentina,26-02-2000,24,19.5,21.2,22.1,15.5,32,17001.18
Argentina,27-02-2000,21.8,16.2,18.7,5,31.5,58.7,32443.4
Argentina,28-02-2000,21.6,11.2,16.6,0,21.2,42.1,43702.3
Argentina,29-02-2000,26.8,12.8,19.8,0,20.5,34.9,42452.32
Argentina,01-03-2000,24,18,20.6,0,22.8,44.6,25970.96
Argentina,02-03-2000,24.5,16.7,19.4,6.1,18.2,41.4,17119.27
Argentina,03-03-2000,27.3,17.3,20.6,1.8,16,34.2,37893.76
Argentina,04-03-2000,25.8,15.5,20.3,0.3,17.7,32.4,41051.43
Argentina,05-03-2000,27.7,15.9,21.5,0,8.9,19.8,41611.74
Argentina,06-03-2000,28.7,17.1,22.8,0,13.2,27.4,41908.33
Argentina,07-03-2000,28,17.6,22.6,0,15.2,31.7,41352.02
Argentina,08-03-2000,25.1,17.6,21,0.1,16.5,33.8,26635.61
Argentina,09-03-2000,26.8,17.4,21.8,0,23.9,45.4,41200.37
